program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l23_merged.fq.gz,1000000,23,999916,935619,64381,0.003,0:934953 1:666
bbmerge,gen_n1000000_l240_merged.fq.gz,1000000,240,999915,415785,584215,0.163,0:280714 1:110469 2:21489 3:2838 4:258 5:17
bbmerge,gen_n1000000_l241_merged.fq.gz,1000000,241,999916,212182,787818,0.165,0:142657 1:56691 2:11180 3:1512 4:137 5:4 6:1
bbmerge,gen_n1000000_l242_merged.fq.gz,1000000,242,999915,1,999999,15.289,37:1
bbmerge,gen_n1000000_l243_merged.fq.gz,1000000,243,999910,4,999996,25.514,40:1 46:1 77:1 85:1
bbmerge,gen_n1000000_l244_merged.fq.gz,1000000,244,999901,1,999999,40.574,99:1
bbmerge,gen_n1000000_l245_merged.fq.gz,1000000,245,999912,2,999998,21.02,38:1 65:1
bbmerge,gen_n1000000_l246_merged.fq.gz,1000000,246,999922,169,999831,17.16,20:4 21:2 22:7 23:12 24:3 25:3 26:16 27:2 28:3 29:11 30:4 31:7 32:7 33:3 34:3 35:2 36:4 37:3 38:3 39:2 40:3 41:2 42:7 43:2 44:4 45:2 46:3 47:2 48:2 49:1 50:3 51:1 52:1 54:1 55:1 56:1 57:2 60:1 61:2 63:3 65:1 68:2 69:1 70:1 71:1 77:1 78:2 80:1 81:1 83:1 85:2 86:1 94:1 97:1 98:1 114:1 116:1 117:1 123:1 126:2
bbmerge,gen_n1000000_l247_merged.fq.gz,1000000,247,999925,237,999763,16.543,7:2 8:1 10:9 11:3 12:2 13:1 15:7 16:5 17:4 18:1 19:1 20:9 21:1 23:10 24:4 25:5 26:3 27:5 28:4 29:9 30:5 31:3 32:5 33:4 34:9 35:4 36:9 37:5 38:4 39:6 40:5 42:6 43:3 44:3 45:5 46:5 47:3 49:3 50:5 51:3 52:1 53:2 54:4 55:1 56:4 57:1 58:3 59:1 60:3 61:1 62:1 64:4 65:2 66:1 67:1 70:3 72:1 73:1 74:2 77:1 78:2 81:1 82:1 88:1 90:1 94:2 95:2 105:1 113:1 115:1 116:1 124:2 129:1 193:1
bbmerge,gen_n1000000_l248_merged.fq.gz,1000000,248,999926,258,999742,15.537,7:2 8:4 10:9 11:4 12:1 13:2 14:1 15:7 16:2 17:6 18:3 19:2 20:4 21:8 22:2 23:8 24:4 25:11 26:11 27:5 28:4 29:5 30:8 31:4 32:7 33:6 34:5 35:7 36:7 37:1 38:9 39:7 40:7 41:2 42:2 43:5 44:2 45:3 46:6 47:1 48:4 49:1 50:3 51:3 53:3 54:2 55:1 56:4 57:1 58:2 59:2 60:1 61:1 62:2 63:2 64:1 65:3 66:4 70:1 71:1 72:1 74:2 76:2 79:1 82:1 84:1 87:1 88:1 95:2 100:1 101:1 103:1 109:1 114:1 115:1 124:1 125:1 126:2
bbmerge,gen_n1000000_l249_merged.fq.gz,1000000,249,999922,330,999670,15.318,8:3 9:6 10:10 11:10 12:6 13:4 14:3 15:3 16:3 17:7 18:7 19:8 20:2 21:5 22:3 23:18 24:6 25:4 26:8 27:6 28:6 29:8 30:11 31:5 32:8 33:6 34:9 35:6 36:7 37:8 38:4 39:5 40:7 41:8 42:15 43:2 44:1 45:3 46:6 48:7 49:2 50:6 52:2 53:1 54:1 55:1 56:2 57:2 58:1 59:1 60:1 61:3 62:1 63:3 64:4 65:3 66:1 67:1 68:3 69:4 70:2 73:1 74:3 75:2 76:1 77:1 78:2 79:2 80:1 81:2 86:2 90:2 91:1 92:1 100:1 102:1 108:1 109:1 112:1 114:1 121:1 126:2 127:1
bbmerge,gen_n1000000_l24_merged.fq.gz,1000000,24,999913,935360,64640,0.003,0:934584 1:776
bbmerge,gen_n1000000_l250_merged.fq.gz,1000000,250,999914,279,999721,16.148,9:1 10:1 11:9 12:7 13:3 14:3 15:5 16:2 17:4 18:3 19:11 20:9 21:5 22:2 23:11 24:9 25:3 26:9 27:4 28:12 29:4 30:4 31:5 32:9 33:5 34:6 35:3 36:9 37:9 38:4 39:2 40:10 41:2 42:6 43:4 45:6 46:2 47:1 48:4 49:3 50:5 51:1 52:2 53:3 54:4 55:1 56:2 59:3 60:1 61:2 62:5 64:1 65:2 66:1 68:4 69:1 71:1 74:2 78:1 81:1 82:2 87:1 88:2 89:1 90:1 94:2 97:1 100:1 101:1 109:1 119:2 123:1 124:1 126:3 127:3 128:1 129:1
bbmerge,gen_n1000000_l25_merged.fq.gz,1000000,25,999934,933488,66512,0.004,0:932615 1:873
bbmerge,gen_n1000000_l26_merged.fq.gz,1000000,26,999902,933974,66026,0.004,0:932969 1:1005
bbmerge,gen_n1000000_l27_merged.fq.gz,1000000,27,999923,933359,66641,0.005,0:932172 1:1187
bbmerge,gen_n1000000_l28_merged.fq.gz,1000000,28,999925,932562,67438,0.005,0:931199 1:1363
bbmerge,gen_n1000000_l29_merged.fq.gz,1000000,29,999910,933049,66951,0.006,0:931448 1:1601
bbmerge,gen_n1000000_l2_merged.fq.gz,1000000,2,999917,0,1000000,NA,
bbmerge,gen_n1000000_l30_merged.fq.gz,1000000,30,999915,933679,66321,0.007,0:931749 1:1930
bbmerge,gen_n1000000_l31_merged.fq.gz,1000000,31,999941,933286,66714,0.007,0:931136 1:2150
bbmerge,gen_n1000000_l32_merged.fq.gz,1000000,32,999915,934136,65864,0.008,0:931798 1:2338
bbmerge,gen_n1000000_l33_merged.fq.gz,1000000,33,999916,935816,64184,0.008,0:933252 1:2564
bbmerge,gen_n1000000_l34_merged.fq.gz,1000000,34,999923,937169,62831,0.009,0:934221 1:2947 2:1
bbmerge,gen_n1000000_l35_merged.fq.gz,1000000,35,999902,935697,64303,0.01,0:932556 1:3141
