program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l247_merged.fq.gz,1000000,247,999925,270,999730,17.082,7:2 8:1 10:9 11:3 12:2 13:1 15:7 16:5 17:5 18:1 19:1 20:10 21:1 23:10 24:4 25:5 26:4 27:8 28:6 29:10 30:6 31:4 32:5 33:4 34:12 35:4 36:10 37:6 38:5 39:7 40:5 41:1 42:6 43:3 44:4 45:6 46:5 47:3 49:4 50:6 51:3 52:1 53:2 54:4 55:1 56:4 57:1 58:3 59:1 60:4 61:2 62:1 64:4 65:2 66:1 67:1 70:4 72:1 73:1 74:2 77:1 78:3 81:1 82:1 88:1 90:2 94:2 95:2 105:1 112:1 113:1 115:4 116:1 121:1 124:2 129:1 193:1
bbmerge,gen_n1000000_l248_merged.fq.gz,1000000,248,999926,295,999705,15.575,7:2 8:4 9:1 10:12 11:5 12:1 13:3 14:1 15:8 16:2 17:6 18:3 19:2 20:6 21:8 22:2 23:8 24:5 25:14 26:12 27:8 28:5 29:6 30:8 31:4 32:7 33:6 34:6 35:8 36:7 37:2 38:11 39:9 40:7 41:3 42:2 43:5 44:2 45:3 46:6 47:2 48:4 49:1 50:4 51:3 53:3 54:3 55:1 56:4 57:1 58:2 59:2 60:1 61:1 62:2 63:3 64:1 65:3 66:5 67:1 70:1 71:1 72:1 74:2 76:2 79:2 82:1 84:1 87:1 88:1 95:2 100:1 101:1 103:1 109:1 114:1 115:3 116:1 124:1 125:1 126:2
bbmerge,gen_n1000000_l249_merged.fq.gz,1000000,249,999922,391,999609,16.193,8:3 9:7 10:11 11:11 12:6 13:5 14:3 15:4 16:5 17:8 18:8 19:10 20:4 21:5 22:4 23:19 24:7 25:6 26:9 27:8 28:8 29:11 30:12 31:5 32:9 33:6 34:10 35:7 36:7 37:8 38:4 39:5 40:8 41:8 42:15 43:2 44:1 45:3 46:8 48:7 49:5 50:9 52:3 53:1 54:1 55:1 56:2 57:3 58:2 59:1 60:1 61:3 62:1 63:3 64:4 65:3 66:2 67:2 68:4 69:4 70:2 73:1 74:3 75:2 76:1 77:1 78:2 79:2 80:2 81:2 82:1 86:2 88:1 89:1 90:3 91:1 92:1 100:1 102:1 108:1 109:1 112:2 114:4 115:3 116:1 120:2 121:2 126:2 127:1
bbmerge,gen_n1000000_l24_merged.fq.gz,1000000,24,999913,5,999995,900.833,215:1 216:2 217:2
bbmerge,gen_n1000000_l250_merged.fq.gz,1000000,250,999914,323,999677,17.045,9:1 10:2 11:10 12:7 13:4 14:4 15:6 16:2 17:5 18:4 19:11 20:10 21:5 22:2 23:12 24:10 25:3 26:10 27:5 28:13 29:4 30:6 31:5 32:10 33:5 34:7 35:5 36:9 37:9 38:4 39:2 40:11 41:3 42:6 43:5 45:6 46:3 47:1 48:4 49:3 50:5 51:1 52:3 53:3 54:4 55:2 56:2 57:2 59:4 60:1 61:2 62:5 63:1 64:1 65:2 66:1 68:4 69:1 71:1 74:2 78:2 81:2 82:2 85:1 87:1 88:3 89:1 90:1 91:1 92:1 94:2 97:1 100:1 101:1 109:1 112:1 113:1 114:4 115:2 119:2 120:1 123:1 124:1 126:3 127:3 128:1 129:1
bbmerge,gen_n1000000_l25_merged.fq.gz,1000000,25,999934,1,999999,860.0,215:1
bbmerge,gen_n1000000_l26_merged.fq.gz,1000000,26,999902,0,1000000,NA,
bbmerge,gen_n1000000_l27_merged.fq.gz,1000000,27,999923,0,1000000,NA,
bbmerge,gen_n1000000_l28_merged.fq.gz,1000000,28,999925,0,1000000,NA,
bbmerge,gen_n1000000_l29_merged.fq.gz,1000000,29,999910,0,1000000,NA,
bbmerge,gen_n1000000_l2_merged.fq.gz,1000000,2,999917,1,999999,11950.0,239:1
